subject,device,gap_samples,gap_s
subject102,hand,16,0.16
subject102,hand,4,0.04
subject102,hand,9,0.09
subject102,hand,9,0.09
subject102,hand,2,0.02
subject102,hand,83,0.83
subject102,hand,2,0.02
subject102,hand,10,0.1
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,63,0.63
subject102,hand,22,0.22
subject102,hand,5,0.05
subject102,hand,3,0.03
subject102,hand,216,2.16
subject102,hand,2,0.02
subject102,hand,4,0.04
subject102,hand,2,0.02
subject102,hand,83,0.83
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,215,2.15
subject102,hand,4,0.04
subject102,hand,4,0.04
subject102,hand,93,0.93
subject102,hand,8,0.08
subject102,hand,7,0.07
subject102,hand,197,1.97
subject102,hand,319,3.19
subject102,hand,124,1.24
subject102,hand,8,0.08
subject102,hand,3,0.03
subject102,hand,103,1.03
subject102,hand,96,0.96
subject102,hand,206,2.06
subject102,hand,1,0.01
subject102,hand,9,0.09
subject102,hand,100,1.0
subject102,hand,19,0.19
subject102,hand,327,3.27
subject102,hand,7,0.07
subject102,hand,18,0.18
subject102,hand,404,4.04
subject102,hand,22,0.22
subject102,hand,209,2.09
subject102,hand,1,0.01
subject102,hand,11,0.11
subject102,hand,89,0.89
subject102,hand,11,0.11
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,2,0.02
subject102,hand,8,0.08
subject102,hand,48,0.48
subject102,hand,35,0.35
subject102,hand,1,0.01
subject102,hand,6,0.06
subject102,hand,2,0.02
subject102,hand,8,0.08
subject102,hand,93,0.93
subject102,hand,18,0.18
subject102,hand,94,0.94
subject102,hand,71,0.71
subject102,hand,27,0.27
subject102,hand,14,0.14
subject102,hand,69,0.69
subject102,hand,112,1.12
subject102,hand,17,0.17
subject102,hand,21,0.21
subject102,hand,3,0.03
subject102,hand,10,0.1
subject102,hand,70,0.7
subject102,hand,9,0.09
subject102,hand,4,0.04
subject102,hand,9,0.09
subject102,hand,5,0.05
subject102,hand,87,0.87
subject102,hand,6,0.06
subject102,hand,3,0.03
subject102,hand,56,0.56
subject102,hand,6,0.06
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,13,0.13
subject102,hand,13,0.13
subject102,hand,8,0.08
subject102,hand,73,0.73
subject102,hand,2,0.02
subject102,hand,4,0.04
subject102,hand,15,0.15
subject102,hand,5,0.05
subject102,hand,4,0.04
subject102,hand,75,0.75
subject102,hand,17,0.17
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,7,0.07
subject102,hand,70,0.7
subject102,hand,24,0.24
subject102,hand,110,1.1
subject102,hand,10,0.1
subject102,hand,56,0.56
subject102,hand,25,0.25
subject102,hand,14,0.14
subject102,hand,6,0.06
subject102,hand,70,0.7
subject102,hand,2,0.02
subject102,hand,3,0.03
subject102,hand,4,0.04
subject102,hand,4,0.04
subject102,hand,8,0.08
subject102,hand,1,0.01
subject102,hand,72,0.72
subject102,hand,3,0.03
subject102,hand,32,0.32
subject102,hand,65,0.65
subject102,hand,26,0.26
subject102,hand,104,1.04
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,61,0.61
subject102,hand,31,0.31
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,63,0.63
subject102,hand,28,0.28
subject102,hand,1,0.01
subject102,hand,11,0.11
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,64,0.64
subject102,hand,28,0.28
subject102,hand,6,0.06
subject102,hand,3,0.03
subject102,hand,64,0.64
subject102,hand,8,0.08
subject102,hand,2,0.02
subject102,hand,20,0.2
subject102,hand,3,0.03
subject102,hand,4,0.04
subject102,hand,2,0.02
subject102,hand,23,0.23
subject102,hand,56,0.56
subject102,hand,11,0.11
subject102,hand,3,0.03
subject102,hand,7,0.07
subject102,hand,53,0.53
subject102,hand,19,0.19
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,4,0.04
subject102,hand,2,0.02
subject102,hand,5,0.05
subject102,hand,7,0.07
subject102,hand,52,0.52
subject102,hand,9,0.09
subject102,hand,9,0.09
subject102,hand,16,0.16
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,4,0.04
subject102,hand,71,0.71
subject102,hand,24,0.24
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,3,0.03
subject102,hand,66,0.66
subject102,hand,2,0.02
subject102,hand,12,0.12
subject102,hand,3,0.03
subject102,hand,10,0.1
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,7,0.07
subject102,hand,78,0.78
subject102,hand,1,0.01
subject102,hand,8,0.08
subject102,hand,8,0.08
subject102,hand,106,1.06
subject102,hand,82,0.82
subject102,hand,7,0.07
subject102,hand,227,2.27
subject102,hand,6,0.06
subject102,hand,1,0.01
subject102,hand,6,0.06
subject102,hand,3,0.03
subject102,hand,86,0.86
subject102,hand,10,0.1
subject102,hand,7,0.07
subject102,hand,89,0.89
subject102,hand,115,1.15
subject102,hand,8,0.08
subject102,hand,2,0.02
subject102,hand,105,1.05
subject102,hand,3,0.03
subject102,hand,79,0.79
subject102,hand,5,0.05
subject102,hand,96,0.96
subject102,hand,22,0.22
subject102,hand,5,0.05
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,5,0.05
subject102,hand,68,0.68
subject102,hand,5,0.05
subject102,hand,20,0.2
subject102,hand,84,0.84
subject102,hand,7,0.07
subject102,hand,3,0.03
subject102,hand,20,0.2
subject102,hand,76,0.76
subject102,hand,7,0.07
subject102,hand,10,0.1
subject102,hand,5,0.05
subject102,hand,2,0.02
subject102,hand,9,0.09
subject102,hand,2,0.02
subject102,hand,66,0.66
subject102,hand,13,0.13
subject102,hand,115,1.15
subject102,hand,2,0.02
subject102,hand,3,0.03
subject102,hand,84,0.84
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,6,0.06
subject102,hand,11,0.11
subject102,hand,190,1.9
subject102,hand,201,2.01
subject102,hand,157,1.57
subject102,hand,115,1.15
subject102,hand,105,1.05
subject102,hand,83,0.83
subject102,hand,4,0.04
subject102,hand,17,0.17
subject102,hand,207,2.07
subject102,hand,5,0.05
subject102,hand,102,1.02
subject102,hand,208,2.08
subject102,hand,20,0.2
subject102,hand,1016,10.16
subject102,hand,20,0.2
subject102,hand,16,0.16
subject102,hand,67,0.67
subject102,hand,19,0.19
subject102,hand,12,0.12
subject102,hand,6,0.06
subject102,hand,100,1.0
subject102,hand,116,1.16
subject102,hand,91,0.91
subject102,hand,7,0.07
subject102,hand,123,1.23
subject102,hand,182,1.82
subject102,hand,131,1.31
subject102,hand,94,0.94
subject102,hand,13,0.13
subject102,hand,230,2.3
subject102,hand,79,0.79
subject102,hand,9,0.09
subject102,hand,106,1.06
subject102,hand,211,2.11
subject102,hand,6,0.06
subject102,hand,3,0.03
subject102,hand,7,0.07
subject102,hand,87,0.87
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,19,0.19
subject102,hand,13,0.13
subject102,hand,63,0.63
subject102,hand,8,0.08
subject102,hand,1,0.01
subject102,hand,8,0.08
subject102,hand,9,0.09
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,87,0.87
subject102,hand,9,0.09
subject102,hand,71,0.71
subject102,hand,17,0.17
subject102,hand,32,0.32
subject102,hand,89,0.89
subject102,hand,7,0.07
subject102,hand,86,0.86
subject102,hand,6,0.06
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,77,0.77
subject102,hand,33,0.33
subject102,hand,88,0.88
subject102,hand,14,0.14
subject102,hand,84,0.84
subject102,hand,31,0.31
subject102,hand,102,1.02
subject102,hand,90,0.9
subject102,hand,2,0.02
subject102,hand,93,0.93
subject102,hand,13,0.13
subject102,hand,4,0.04
subject102,hand,14,0.14
subject102,hand,104,1.04
subject102,hand,70,0.7
subject102,hand,42,0.42
subject102,hand,85,0.85
subject102,hand,3,0.03
subject102,hand,209,2.09
subject102,hand,2,0.02
subject102,hand,99,0.99
subject102,hand,13,0.13
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,101,1.01
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,56,0.56
subject102,hand,22,0.22
subject102,hand,4,0.04
subject102,hand,217,2.17
subject102,hand,102,1.02
subject102,hand,5,0.05
subject102,hand,97,0.97
subject102,hand,5,0.05
subject102,hand,7,0.07
subject102,hand,2,0.02
subject102,hand,79,0.79
subject102,hand,114,1.14
subject102,hand,4,0.04
subject102,hand,3,0.03
subject102,hand,60,0.6
subject102,hand,1,0.01
subject102,hand,6,0.06
subject102,hand,22,0.22
subject102,hand,10,0.1
subject102,hand,4,0.04
subject102,hand,11,0.11
subject102,hand,65,0.65
subject102,hand,38,0.38
subject102,hand,90,0.9
subject102,hand,8,0.08
subject102,hand,4,0.04
subject102,hand,64,0.64
subject102,hand,31,0.31
subject102,hand,117,1.17
subject102,hand,108,1.08
subject102,hand,867,8.67
subject102,hand,92,0.92
subject102,hand,13,0.13
subject102,hand,588,5.88
subject102,hand,215,2.15
subject102,hand,3222,32.22
subject102,hand,1,0.01
subject102,hand,99,0.99
subject102,hand,1065,10.65
subject102,hand,4270,42.7
subject102,hand,26941,269.41
subject102,hand,103,1.03
subject102,hand,789,7.89
subject102,hand,2,0.02
subject102,hand,3567,35.67
subject102,hand,3,0.03
subject102,hand,2,0.02
subject102,hand,6,0.06
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,60,0.6
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,9,0.09
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,37,0.37
subject102,hand,8,0.08
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,2,0.02
subject102,hand,3,0.03
subject102,hand,5,0.05
subject102,hand,52,0.52
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,8,0.08
subject102,hand,57,0.57
subject102,hand,7,0.07
subject102,hand,15,0.15
subject102,hand,59,0.59
subject102,hand,13,0.13
subject102,hand,52,0.52
subject102,hand,8,0.08
subject102,hand,5,0.05
subject102,hand,57,0.57
subject102,hand,2,0.02
subject102,hand,5,0.05
subject102,hand,75,0.75
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,60,0.6
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,63,0.63
subject102,hand,5,0.05
subject102,hand,3,0.03
subject102,hand,2,0.02
subject102,hand,80,0.8
subject102,hand,57,0.57
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,54,0.54
subject102,hand,14,0.14
subject102,hand,6,0.06
subject102,hand,4,0.04
subject102,hand,56,0.56
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,6,0.06
subject102,hand,1,0.01
subject102,hand,52,0.52
subject102,hand,2,0.02
subject102,hand,3,0.03
subject102,hand,10,0.1
subject102,hand,1,0.01
subject102,hand,52,0.52
subject102,hand,5,0.05
subject102,hand,4,0.04
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,57,0.57
subject102,hand,1,0.01
subject102,hand,7,0.07
subject102,hand,61,0.61
subject102,hand,2,0.02
subject102,hand,5,0.05
subject102,hand,1,0.01
subject102,hand,69,0.69
subject102,hand,9,0.09
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,66,0.66
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,53,0.53
subject102,hand,7,0.07
subject102,hand,7,0.07
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,59,0.59
subject102,hand,2,0.02
subject102,hand,5,0.05
subject102,hand,2,0.02
subject102,hand,77,0.77
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,43,0.43
subject102,hand,3,0.03
subject102,hand,10,0.1
subject102,hand,2,0.02
subject102,hand,8,0.08
subject102,hand,5,0.05
subject102,hand,53,0.53
subject102,hand,8,0.08
subject102,hand,69,0.69
subject102,hand,148,1.48
subject102,hand,12,0.12
subject102,hand,55,0.55
subject102,hand,10,0.1
subject102,hand,5,0.05
subject102,hand,5,0.05
subject102,hand,122,1.22
subject102,hand,244,2.44
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,7,0.07
subject102,hand,54,0.54
subject102,hand,78,0.78
subject102,hand,6,0.06
subject102,hand,152,1.52
subject102,hand,147,1.47
subject102,hand,8,0.08
subject102,hand,65,0.65
subject102,hand,152,1.52
subject102,hand,994,9.94
subject102,hand,64,0.64
subject102,hand,148,1.48
subject102,hand,15,0.15
subject102,hand,4,0.04
subject102,hand,71,0.71
subject102,hand,71,0.71
subject102,hand,5,0.05
subject102,hand,1,0.01
subject102,hand,61,0.61
subject102,hand,70,0.7
subject102,hand,5,0.05
subject102,hand,2,0.02
subject102,hand,17,0.17
subject102,hand,72,0.72
subject102,hand,57,0.57
subject102,hand,85,0.85
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,59,0.59
subject102,hand,3,0.03
subject102,hand,72,0.72
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,2,0.02
subject102,hand,56,0.56
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,6,0.06
subject102,hand,124,1.24
subject102,hand,7,0.07
subject102,hand,1,0.01
subject102,hand,5,0.05
subject102,hand,7,0.07
subject102,hand,60,0.6
subject102,hand,2,0.02
subject102,hand,13,0.13
subject102,hand,53,0.53
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,11,0.11
subject102,hand,58,0.58
subject102,hand,1,0.01
subject102,hand,5,0.05
subject102,hand,6,0.06
subject102,hand,55,0.55
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,72,0.72
subject102,hand,63,0.63
subject102,hand,14,0.14
subject102,hand,62,0.62
subject102,hand,61,0.61
subject102,hand,4,0.04
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,62,0.62
subject102,hand,2,0.02
subject102,hand,64,0.64
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,66,0.66
subject102,hand,7,0.07
subject102,hand,86,0.86
subject102,hand,56,0.56
subject102,hand,10,0.1
subject102,hand,58,0.58
subject102,hand,5,0.05
subject102,hand,74,0.74
subject102,hand,55,0.55
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,9,0.09
subject102,hand,53,0.53
subject102,hand,1,0.01
subject102,hand,10,0.1
subject102,hand,9,0.09
subject102,hand,53,0.53
subject102,hand,20,0.2
subject102,hand,1,0.01
subject102,hand,51,0.51
subject102,hand,3,0.03
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,5,0.05
subject102,hand,54,0.54
subject102,hand,3,0.03
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,66,0.66
subject102,hand,71,0.71
subject102,hand,1,0.01
subject102,hand,156,1.56
subject102,hand,2,0.02
subject102,hand,62,0.62
subject102,hand,4,0.04
subject102,hand,3,0.03
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,27,0.27
subject102,hand,21,0.21
subject102,hand,5,0.05
subject102,hand,12,0.12
subject102,hand,2,0.02
subject102,hand,2,0.02
subject102,hand,73,0.73
subject102,hand,65,0.65
subject102,hand,6,0.06
subject102,hand,71,0.71
subject102,hand,2,0.02
subject102,hand,4,0.04
subject102,hand,63,0.63
subject102,hand,5,0.05
subject102,hand,4,0.04
subject102,hand,1,0.01
subject102,hand,1,0.01
subject102,hand,2,0.02
subject102,hand,58,0.58
subject102,hand,72,0.72
subject102,hand,142,1.42
subject102,hand,2703,27.03
subject102,hand,81,0.81
subject102,hand,6128,61.28
subject102,hand,67,0.67
subject102,hand,29,0.29
subject102,hand,303,3.03
subject102,hand,17,0.17
subject102,hand,32,0.32
subject102,hand,348,3.48
subject102,hand,697,6.97
subject102,hand,11,0.11
subject102,hand,1136,11.36
subject102,hand,189,1.89
subject102,hand,308,3.08
subject102,hand,6,0.06
subject102,hand,5,0.05
subject102,hand,91,0.91
subject102,hand,42,0.42
subject102,hand,29,0.29
subject102,hand,49,0.49
subject102,hand,82,0.82
subject102,hand,318,3.18
subject102,hand,330,3.3
subject102,hand,83,0.83
subject102,hand,117,1.17
subject102,hand,92,0.92
subject102,hand,1,0.01
subject102,hand,250,2.5
subject102,hand,21,0.21
subject102,hand,130,1.3
subject102,hand,42,0.42
subject102,hand,99,0.99
subject102,hand,32,0.32
subject102,hand,97,0.97
subject102,hand,5,0.05
subject102,hand,8,0.08
subject102,hand,9,0.09
subject102,hand,316,3.16
subject102,hand,421,4.21
subject102,hand,194,1.94
subject102,hand,14,0.14
subject102,hand,2,0.02
subject102,hand,1,0.01
subject102,hand,15,0.15
subject102,hand,26,0.26
subject102,hand,27,0.27
subject102,hand,67,0.67
subject102,hand,92,0.92
subject102,hand,28,0.28
subject102,hand,2,0.02
subject102,hand,43,0.43
subject102,hand,417,4.17
subject102,hand,5,0.05
subject102,hand,104,1.04
subject102,hand,75,0.75
subject102,hand,102,1.02
subject102,hand,176,1.76
subject102,hand,38,0.38
subject102,hand,34,0.34
subject102,hand,77,0.77
subject102,hand,15,0.15
subject102,hand,68,0.68
subject102,hand,88,0.88
subject102,hand,175,1.75
subject102,hand,66,0.66
subject102,hand,166,1.66
subject102,hand,6,0.06
subject102,hand,7,0.07
subject102,hand,93,0.93
subject102,hand,63,0.63
subject102,hand,165,1.65
subject102,hand,168,1.68
subject102,hand,1,0.01
subject102,hand,14,0.14
subject102,hand,91,0.91
subject102,hand,491,4.91
subject102,hand,104,1.04
subject102,hand,72,0.72
subject102,hand,2,0.02
subject102,hand,78,0.78
subject102,hand,100,1.0
subject102,hand,4,0.04
subject102,hand,66,0.66
subject102,hand,95,0.95
subject102,hand,149,1.49
subject102,hand,66,0.66
subject102,hand,30,0.3
subject102,hand,116,1.16
subject102,hand,113,1.13
subject102,hand,20,0.2
subject102,hand,89,0.89
subject102,hand,14,0.14
subject102,hand,24,0.24
subject102,hand,59,0.59
subject102,hand,34,0.34
subject102,hand,5,0.05
subject102,hand,2,0.02
subject102,hand,40,0.4
subject102,hand,45,0.45
subject102,hand,2,0.02
subject102,hand,35,0.35
subject102,hand,66,0.66
subject102,hand,73,0.73
subject102,hand,2,0.02
subject102,hand,64,0.64
subject102,hand,22,0.22
subject102,hand,12,0.12
subject102,hand,62,0.62
subject102,hand,149,1.49
subject102,hand,202,2.02
subject102,hand,36,0.36
subject102,hand,54,0.54
subject102,hand,59,0.59
subject102,hand,23,0.23
subject102,hand,33,0.33
subject102,hand,38,0.38
subject102,hand,269,2.69
subject102,hand,199,1.99
subject102,hand,10,0.1
subject102,hand,12,0.12
subject102,hand,36,0.36
subject102,hand,57,0.57
subject102,hand,135,1.35
subject102,hand,47,0.47
subject102,hand,145,1.45
subject102,hand,30,0.3
subject102,hand,51,0.51
subject102,hand,65,0.65
subject102,hand,106,1.06
subject102,hand,99,0.99
subject102,hand,178,1.78
subject102,hand,75,0.75
subject102,hand,43,0.43
subject102,hand,91,0.91
subject102,hand,152,1.52
subject102,hand,23,0.23
subject102,hand,79,0.79
subject102,hand,26,0.26
subject102,hand,79,0.79
subject102,hand,44,0.44
subject102,hand,296,2.96
subject102,hand,78,0.78
subject102,hand,12,0.12
subject102,hand,157,1.57
subject102,hand,74,0.74
subject102,hand,22,0.22
subject102,hand,124,1.24
subject102,hand,168,1.68
subject102,hand,45,0.45
subject102,hand,391,3.91
subject102,hand,2212,22.12
subject102,hand,47,0.47
subject102,hand,232,2.32
subject102,hand,784,7.84
subject102,hand,31,0.31
subject102,hand,14,0.14
subject102,hand,32,0.32
subject102,hand,29,0.29
subject102,hand,1,0.01
subject102,hand,242,2.42
subject102,hand,11,0.11
subject102,hand,350,3.5
subject102,hand,559,5.59
subject102,hand,1233,12.33
subject102,hand,32,0.32
subject102,hand,11,0.11
subject102,hand,27,0.27
subject102,hand,40,0.4
subject102,hand,81,0.81
subject102,hand,37,0.37
subject102,hand,22,0.22
subject102,hand,72,0.72
subject102,hand,66,0.66
subject102,hand,7,0.07
subject102,hand,5,0.05
subject102,hand,74,0.74
subject102,hand,186,1.86
subject102,hand,7,0.07
subject102,hand,2638,26.38
subject102,hand,1794,17.94
subject102,hand,2112,21.12
subject102,hand,29,0.29
subject102,hand,765,7.65
subject102,hand,2,0.02
subject102,hand,28,0.28
subject102,hand,171,1.71
subject102,hand,67,0.67
subject102,hand,7,0.07
subject102,hand,18,0.18
subject102,hand,395,3.95
subject102,hand,286,2.86
subject102,hand,365,3.65
subject102,hand,324,3.24
subject102,hand,1810,18.1
subject102,chest,214,2.14
subject102,chest,12,0.12
subject102,chest,9,0.09
subject102,chest,999,9.99
subject102,chest,5,0.05
subject102,chest,117,1.17
subject102,chest,135,1.35
subject102,chest,2,0.02
subject102,chest,1720,17.2
subject102,chest,892,8.92
subject102,chest,156,1.56
subject102,chest,777,7.77
subject102,chest,23,0.23
subject102,chest,503,5.03
subject102,chest,14,0.14
subject102,chest,7546,75.46
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,16,0.16
subject102,chest,1,0.01
subject102,chest,53,0.53
subject102,chest,99,0.99
subject102,chest,1,0.01
subject102,chest,1,0.01
subject102,chest,7,0.07
subject102,chest,6,0.06
subject102,chest,10376,103.76
subject102,chest,29395,293.95
subject102,chest,499,4.99
subject102,chest,1,0.01
subject102,chest,921,9.21
subject102,chest,9414,94.14
subject102,chest,186,1.86
subject102,chest,909,9.09
subject102,chest,4744,47.44
subject102,chest,1700,17.0
subject102,chest,97,0.97
subject102,chest,662,6.62
subject102,chest,13674,136.74
subject102,chest,4,0.04
subject102,chest,23,0.23
subject102,chest,38,0.38
subject102,chest,595,5.95
subject102,chest,7711,77.11
subject102,chest,6754,67.54
subject102,chest,448,4.48
subject102,chest,9157,91.57
subject102,chest,19592,195.92
subject102,chest,1267,12.67
subject102,chest,6211,62.11
subject102,chest,686,6.86
subject102,chest,11312,113.12
subject102,chest,1312,13.12
subject102,chest,4123,41.23
subject102,chest,2,0.02
subject102,chest,163,1.63
subject102,chest,20508,205.08
subject102,chest,1990,19.9
subject102,chest,10,0.1
subject102,chest,4763,47.63
subject102,chest,570,5.7
subject102,chest,8086,80.86
subject102,chest,3348,33.48
subject102,chest,1054,10.54
subject102,chest,957,9.57
subject102,chest,7,0.07
subject102,chest,3038,30.38
subject102,chest,138,1.38
subject102,chest,2589,25.89
subject102,chest,15,0.15
subject102,chest,16,0.16
subject102,chest,3155,31.55
subject102,chest,10,0.1
subject102,chest,758,7.58
subject102,chest,1193,11.93
subject102,chest,10,0.1
subject102,chest,71,0.71
subject102,chest,5,0.05
subject102,chest,907,9.07
subject102,chest,15,0.15
subject102,chest,2173,21.73
subject102,chest,460,4.6
subject102,chest,2744,27.44
subject102,chest,1720,17.2
subject102,chest,443,4.43
subject102,chest,419,4.19
subject102,chest,5012,50.12
subject102,chest,3732,37.32
subject102,chest,3,0.03
subject102,chest,5036,50.36
subject102,chest,27727,277.27
subject102,chest,12141,121.41
subject102,chest,25,0.25
subject102,chest,1186,11.86
subject102,chest,1081,10.81
subject102,chest,4698,46.98
subject102,chest,10833,108.33
subject102,chest,305,3.05
subject102,chest,215,2.15
subject102,chest,199,1.99
subject102,chest,302,3.02
subject102,chest,789,7.89
subject102,chest,7899,78.99
subject102,chest,17374,173.74
subject102,chest,33,0.33
subject102,chest,201,2.01
subject102,chest,134,1.34
subject102,chest,281,2.81
subject102,chest,144,1.44
subject102,chest,1,0.01
subject102,chest,64,0.64
subject102,chest,2,0.02
subject102,chest,545,5.45
subject102,chest,18,0.18
subject102,chest,698,6.98
subject102,chest,7286,72.86
subject102,chest,6494,64.94
subject102,chest,1,0.01
subject102,chest,69,0.69
subject102,chest,1,0.01
subject102,chest,437,4.37
subject102,chest,3,0.03
subject102,chest,16,0.16
subject102,chest,1,0.01
subject102,chest,91,0.91
subject102,chest,13,0.13
subject102,chest,79025,790.25
subject102,chest,188,1.88
subject102,chest,2666,26.66
subject102,chest,925,9.25
subject102,chest,2850,28.5
subject102,chest,3627,36.27
subject102,chest,317,3.17
subject102,chest,287,2.87
subject102,chest,6119,61.19
subject102,chest,2,0.02
subject102,chest,281,2.81
subject102,chest,91,0.91
subject102,chest,154,1.54
subject102,chest,364,3.64
subject102,chest,4,0.04
subject102,chest,542,5.42
subject102,chest,23,0.23
subject102,chest,3,0.03
subject102,chest,22,0.22
subject102,chest,33,0.33
subject102,chest,20,0.2
subject102,chest,427,4.27
subject102,chest,26,0.26
subject102,chest,441,4.41
subject102,chest,770,7.7
subject102,chest,332,3.32
subject102,chest,615,6.15
subject102,chest,98,0.98
subject102,chest,60,0.6
subject102,chest,392,3.92
subject102,chest,602,6.02
subject102,chest,3,0.03
subject102,chest,43,0.43
subject102,chest,1,0.01
subject102,chest,14,0.14
subject102,chest,48,0.48
subject102,chest,3278,32.78
subject102,ankle,27043,270.43
subject102,ankle,330,3.3
subject102,ankle,1970,19.7
subject102,ankle,586,5.86
subject102,ankle,625,6.25
subject102,ankle,1044,10.44
subject102,ankle,3297,32.97
subject102,ankle,807,8.07
subject102,ankle,3829,38.29
subject102,ankle,1073,10.73
subject102,ankle,2609,26.09
subject102,ankle,3605,36.05
subject102,ankle,5099,50.99
subject102,ankle,179,1.79
subject102,ankle,11,0.11
subject102,ankle,354,3.54
subject102,ankle,2606,26.06
subject102,ankle,2,0.02
subject102,ankle,6696,66.96
subject102,ankle,805,8.05
subject102,ankle,64,0.64
subject102,ankle,1,0.01
subject102,ankle,763,7.63
subject102,ankle,1,0.01
subject102,ankle,193,1.93
subject102,ankle,15,0.15
subject102,ankle,51,0.51
subject102,ankle,469,4.69
subject102,ankle,1277,12.77
subject102,ankle,1998,19.98
subject102,ankle,95,0.95
subject102,ankle,114,1.14
subject102,ankle,2127,21.27
subject102,ankle,479,4.79
subject102,ankle,1,0.01
subject102,ankle,2650,26.5
subject102,ankle,117,1.17
subject102,ankle,148,1.48
subject102,ankle,253,2.53
subject102,ankle,96,0.96
subject102,ankle,409,4.09
subject102,ankle,147,1.47
subject102,ankle,1206,12.06
subject102,ankle,1759,17.59
subject102,ankle,333,3.33
subject102,ankle,832,8.32
subject102,ankle,1,0.01
subject102,ankle,2,0.02
subject102,ankle,7,0.07
subject102,ankle,2,0.02
subject102,ankle,159,1.59
subject102,ankle,1009,10.09
subject102,ankle,107,1.07
subject102,ankle,19,0.19
subject102,ankle,442,4.42
subject102,ankle,1,0.01
subject102,ankle,66,0.66
subject102,ankle,120,1.2
subject102,ankle,432,4.32
subject102,ankle,70,0.7
subject102,ankle,309,3.09
subject102,ankle,135,1.35
subject102,ankle,315,3.15
subject102,ankle,11,0.11
subject102,ankle,66,0.66
subject102,ankle,5,0.05
subject102,ankle,133,1.33
subject102,ankle,138,1.38
subject102,ankle,8,0.08
subject102,ankle,6,0.06
